Athlete,Medal,Medal_Count
"ANDRIANOV, Nikolay",Bronze,3
"COUGHLIN, Natalie",Bronze,5
"KATO, Sawao",Bronze,1
"LATYNINA, Larisa",Bronze,4
"MANGIAROTTI, Edoardo",Bronze,2
"NEMOV, Alexei",Bronze,6
"NURMI, Paavo",Bronze,0
"ONO, Takashi",Bronze,4
"PHELPS, Michael",Bronze,2
"SHAKHLIN, Boris",Bronze,2
"THOMPSON, Jenny",Bronze,1
"TORRES, Dara",Bronze,4
"ANDRIANOV, Nikolay",Silver,5
"COUGHLIN, Natalie",Silver,4
"KATO, Sawao",Silver,3
"LATYNINA, Larisa",Silver,5
"MANGIAROTTI, Edoardo",Silver,5
"NEMOV, Alexei",Silver,2
"NURMI, Paavo",Silver,3
"ONO, Takashi",Silver,4
"PHELPS, Michael",Silver,2
"SHAKHLIN, Boris",Silver,4
"THOMPSON, Jenny",Silver,3
"TORRES, Dara",Silver,4
"ANDRIANOV, Nikolay",Gold,7
"COUGHLIN, Natalie",Gold,3
"KATO, Sawao",Gold,8
"LATYNINA, Larisa",Gold,9
"MANGIAROTTI, Edoardo",Gold,6
"NEMOV, Alexei",Gold,4
"NURMI, Paavo",Gold,9
"ONO, Takashi",Gold,5
"PHELPS, Michael",Gold,18
"SHAKHLIN, Boris",Gold,7
"THOMPSON, Jenny",Gold,8
"TORRES, Dara",Gold,4
