Sport,Athlete,Medal_Count
Aquatics,"PHELPS, Michael",22
Aquatics,"COUGHLIN, Natalie",12
Aquatics,"THOMPSON, Jenny",12
Aquatics,"TORRES, Dara",12
Aquatics,"BIONDI, Matthew",11
Aquatics,"LOCHTE, Ryan",11
Aquatics,"SPITZ, Mark",11
Aquatics,"HALL, Gary Jr.",10
Aquatics,"VAN ALMSICK, Franziska",10
Aquatics,"JONES, Leisel",9
Athletics,"NURMI, Paavo",12
Athletics,"LEWIS, Carl",10
Athletics,"OTTEY-PAGE, Merlene",9
Athletics,"EWRY, Ray",8
Athletics,"RITOLA, Ville",8
Athletics,"CAMPBELL-BROWN, Veronica",7
Athletics,"STRICKLAND-DE LA HUNTY, Shirley",7
Athletics,"SZEWINSKA, Irena",7
Athletics,"BOLT, Usain",6
Athletics,"FELIX, Allyson",6
Cycling,"HOY, Chris",7
Cycling,"WIGGINS, Bradley",7
Cycling,"DOWNING, Burton",6
Cycling,"ZIJLAARD-VAN MOORSEL, Leontien",6
Cycling,"FIEDLER, Jens",5
Cycling,"HURLEY, Marcus",5
Cycling,"MCGEE, Bradley",5
Cycling,"MEARES, Anna",5
Cycling,"MORELON, Daniel",5
Cycling,"BILLINGTON, Edward",4
Fencing,"MANGIAROTTI, Edoardo",13
Fencing,"GEREVICH, Aladar",10
Fencing,"GAUDINI, Giulio",9
Fencing,"VEZZALI, Valentina",9
Fencing,"CATTIAU, Philippe",8
Fencing,"DUCRET, Roger François",8
Fencing,"TRILLINI, Giovanna",8
Fencing,"KOVACS, Pal Adam",7
Fencing,"MARZI, Gustavo",7
Fencing,"REJTO-UJLAKI, Ildiko",7
Football,"BOXX, Shannon",3
Football,"CHASTAIN, Brandi",3
Football,"FAWCETT, Joy",3
Football,"HAMM, Mia",3
Football,"HINGST, Ariane",3
Football,"LILLY, Kristine",3
Football,"LINGOR, Renate",3
Football,"MITTS, Heather",3
Football,"NOVAK, Dezsö",3
Football,"O REILLY, Heather",3
Gymnastics,"LATYNINA, Larisa",18
Gymnastics,"ANDRIANOV, Nikolay",15
Gymnastics,"ONO, Takashi",13
Gymnastics,"SHAKHLIN, Boris",13
Gymnastics,"KATO, Sawao",12
Gymnastics,"NEMOV, Alexei",12
Gymnastics,"CASLAVSKA, Vera",11
Gymnastics,"CHUKARIN, Viktor Ivanovich",11
Gymnastics,"ASTAKHOVA, Polina",10
Gymnastics,"DITYATIN, Aleksandr",10
Hockey,"AYMAR, Luciana",4
Hockey,"CLAUDIUS, Leslie Walter",4
Hockey,"DE NOOIJER, Teun",4
Hockey,"SINGH KULLAR, Udham",4
Hockey,"ABDUL, Hamid",3
Hockey,"ABDUL, Rashid III",3
Hockey,"AICEGA, Magdalena",3
Hockey,"BOOIJ, Minke",3
Hockey,"BRINKMAN, Jacques",3
Hockey,"DAVIES, Stephen",3
Rowing,"LIPA, Elisabeta",8
Rowing,"ANDRUNACHE, Georgeta",6
Rowing,"COCHELEA, Veronica",6
Rowing,"IGNAT, Doina",6
Rowing,"REDGRAVE, Steven",6
Rowing,"BERESFORD, Jack",5
Rowing,"BORON, Kathrin",5
Rowing,"BURCICA, Constanta",5
Rowing,"GEORGESCU, Elena",5
Rowing,"KARSTEN, Ekaterina",5
Sailing,"AINSLIE, Ben",5
Sailing,"GRAEL, Torben",5
Sailing,"SCHEIDT, Robert",5
Sailing,"ELVSTROM, Paul",4
Sailing,"ESPINOLA, Carlos",4
Sailing,"HOLM, Tore",4
Sailing,"MANKIN, Valentyn",4
Sailing,"SCHÜMANN, Jochen",4
Sailing,"SENSINI, Alessandra",4
Sailing,"BANK, Jesper",3
Shooting,"OSBURN, Carl Townsend",11
Shooting,"SWAHN, Alfred",9
Shooting,"OLSEN, Otto M.",8
Shooting,"CARLBERG, G. Vilhelm",7
Shooting,"LEE, Willis",7
Shooting,"LIBERG, Einar",7
Shooting,"SPOONER, Lloyd Spencer",7
Shooting,"LANE, Alfred P.",6
Shooting,"LILLOE-OLSEN, Ole Andreas",6
Shooting,"NATVIG, Harald",6
Wrestling,"DIETRICH, Wilfried",5
Wrestling,"BAUMGARTNER, Bruce Robert",4
Wrestling,"KARELIN, Aleksandr",4
Wrestling,"LEINO, Eino Aukusti",4
Wrestling,"POLYAK, Imre",4
Wrestling,"SVENSSON, Rudolf",4
Wrestling,"TAYMAZOV, Artur",4
Wrestling,"FREIJ, Gustav",3
Wrestling,"ICHO, Kaori",3
Wrestling,"JOHANSSON, Ivar",3
