Country,Medal
United States,4585
Soviet Union,2049
United Kingdom,1720
France,1396
Germany,1305
Italy,1296
Australia,1189
Hungary,1079
Sweden,1044
Netherlands,851
German Democratic Republic,825
China,807
Japan,788
Russia,768
Canada,649
Romania,640
Norway,554
South Korea,529
Poland,511
Denmark,507
Finland,456
Spain,442
Brazil,431
Belgium,411
Cuba,410
Switzerland,380
Bulgaria,333
Argentina,259
New Zealand,190
India,184
Ukraine,173
Greece,148
Austria,146
Jamaica,127
Pakistan,121
Croatia,114
Belarus,113
South Africa,106
Mexico,106
Kenya,93
Turkey,86
Nigeria,84
Uruguay,76
Iran,61
North Korea,58
Czech Republic,56
Lithuania,55
Kazakhstan,49
Ethiopia,45
Taiwan,44
Estonia,39
Indonesia,38
Slovakia,34
Portugal,33
Chile,33
Ireland,30
Egypt,28
Bahamas,27
Slovenia,26
Azerbaijan,26
Thailand,25
Georgia,25
Mongolia,24
Zimbabwe,23
Cameroon,23
Morocco,22
Uzbekistan,20
Trinidad and Tobago,20
Latvia,20
Colombia,19
Paraguay,17
Iceland,17
Ghana,16
Peru,15
Algeria,15
Serbia,14
Venezuela,12
Armenia,11
Tunisia,10
Philippines,9
Puerto Rico,8
Malaysia,8
Haiti,8
Uganda,7
Israel,7
Moldova,6
Saudi Arabia,6
Dominican Republic,6
Singapore,4
Qatar,4
Namibia,4
Lebanon,4
Hong Kong,4
Costa Rica,4
Tajikistan,3
Syria,3
Panama,3
Kyrgyzstan,3
Zambia,2
Vietnam,2
Tanzania,2
Suriname,2
Sri Lanka,2
Mozambique,2
Luxembourg,2
Kuwait,2
Ecuador,2
Afghanistan,2
United Arab Emirates,1
Togo,1
Tonga,1
Sudan,1
Senegal,1
Niger,1
Mauritius,1
Macedonia,1
Virgin Islands,1
Iraq,1
Guyana,1
Guatemala,1
Grenada,1
Gabon,1
Eritrea,1
Djibouti,1
Cyprus,1
Cote d'Ivoire,1
Bahrain,1
Botswana,1
Bermuda,1
Burundi,1
Barbados,1
Netherlands Antilles,1
