Year,Medal,Medal_Count
1896,Bronze,40
1896,Gold,64
1896,Silver,47
1900,Bronze,142
1900,Gold,178
1900,Silver,192
1904,Bronze,123
1904,Gold,188
1904,Silver,159
1908,Bronze,211
1908,Gold,311
1908,Silver,282
1912,Bronze,284
1912,Gold,301
1912,Silver,300
1920,Bronze,355
1920,Gold,497
1920,Silver,446
1924,Bronze,285
1924,Gold,301
1924,Silver,298
1928,Bronze,242
1928,Gold,229
1928,Silver,239
1932,Bronze,196
1932,Gold,213
1932,Silver,206
1936,Bronze,282
1936,Gold,299
1936,Silver,294
1948,Bronze,268
1948,Gold,276
1948,Silver,270
1952,Bronze,299
1952,Gold,300
1952,Silver,290
1956,Bronze,297
1956,Gold,298
1956,Silver,290
1960,Bronze,301
1960,Gold,295
1960,Silver,286
1964,Bronze,343
1964,Gold,330
1964,Silver,337
1968,Bronze,351
1968,Gold,341
1968,Silver,339
1972,Bronze,412
1972,Gold,387
1972,Silver,386
1976,Bronze,447
1976,Gold,429
1976,Silver,429
1980,Bronze,472
1980,Gold,460
1980,Silver,455
1984,Bronze,500
1984,Gold,483
1984,Silver,476
1988,Bronze,535
1988,Gold,506
1988,Silver,505
1992,Bronze,596
1992,Gold,558
1992,Silver,551
1996,Bronze,634
1996,Gold,615
1996,Silver,610
2000,Bronze,685
2000,Gold,663
2000,Silver,667
2004,Bronze,679
2004,Gold,659
2004,Silver,660
2008,Bronze,710
2008,Gold,669
2008,Silver,663
2012,Bronze,680
2012,Gold,636
2012,Silver,633
