Country,Medal
United States,"4,585.00"
Soviet Union,"2,049.00"
United Kingdom,"1,720.00"
France,"1,396.00"
Germany,"1,305.00"
Italy,"1,296.00"
Australia,"1,189.00"
Hungary,"1,079.00"
Sweden,"1,044.00"
Netherlands,851.00
German Democratic Republic,825.00
China,807.00
Japan,788.00
Russia,768.00
Canada,649.00
Romania,640.00
Norway,554.00
South Korea,529.00
Poland,511.00
Denmark,507.00
Finland,456.00
Spain,442.00
Brazil,431.00
Belgium,411.00
Cuba,410.00
Switzerland,380.00
Bulgaria,333.00
Argentina,259.00
New Zealand,190.00
India,184.00
Ukraine,173.00
Greece,148.00
Austria,146.00
Jamaica,127.00
Pakistan,121.00
Croatia,114.00
Belarus,113.00
South Africa,106.00
Mexico,106.00
Kenya,93.00
Turkey,86.00
Nigeria,84.00
Uruguay,76.00
Iran,61.00
North Korea,58.00
Czech Republic,56.00
Lithuania,55.00
Kazakhstan,49.00
Ethiopia,45.00
Taiwan,44.00
Estonia,39.00
Indonesia,38.00
Slovakia,34.00
Portugal,33.00
Chile,33.00
Ireland,30.00
Egypt,28.00
Bahamas,27.00
Slovenia,26.00
Azerbaijan,26.00
Thailand,25.00
Georgia,25.00
Mongolia,24.00
Zimbabwe,23.00
Cameroon,23.00
Morocco,22.00
Uzbekistan,20.00
Trinidad and Tobago,20.00
Latvia,20.00
Colombia,19.00
Paraguay,17.00
Iceland,17.00
Ghana,16.00
Peru,15.00
Algeria,15.00
Serbia,14.00
Venezuela,12.00
Armenia,11.00
Tunisia,10.00
Philippines,9.00
Puerto Rico,8.00
Malaysia,8.00
Haiti,8.00
Uganda,7.00
Israel,7.00
Moldova,6.00
Saudi Arabia,6.00
Dominican Republic,6.00
Singapore,4.00
Qatar,4.00
Namibia,4.00
Lebanon,4.00
Hong Kong,4.00
Costa Rica,4.00
Tajikistan,3.00
Syria,3.00
Panama,3.00
Kyrgyzstan,3.00
Zambia,2.00
Vietnam,2.00
Tanzania,2.00
Suriname,2.00
Sri Lanka,2.00
Mozambique,2.00
Luxembourg,2.00
Kuwait,2.00
Ecuador,2.00
Afghanistan,2.00
United Arab Emirates,1.00
Togo,1.00
Tonga,1.00
Sudan,1.00
Senegal,1.00
Niger,1.00
Mauritius,1.00
Macedonia,1.00
Virgin Islands,1.00
Iraq,1.00
Guyana,1.00
Guatemala,1.00
Grenada,1.00
Gabon,1.00
Eritrea,1.00
Djibouti,1.00
Cyprus,1.00
Cote d'Ivoire,1.00
Bahrain,1.00
Botswana,1.00
Bermuda,1.00
Burundi,1.00
Barbados,1.00
Netherlands Antilles,1.00
