Year,Sport,Medal
1896,Aquatics,11
1896,Athletics,37
1896,Cycling,16
1896,Fencing,8
1896,Gymnastics,45
1896,Shooting,15
1896,Wrestling,3
1900,Aquatics,61
1900,Athletics,76
1900,Cycling,6
1900,Fencing,21
1900,Football,35
1900,Gymnastics,3
1900,Rowing,68
1900,Sailing,26
1900,Shooting,52
1904,Aquatics,43
1904,Athletics,82
1904,Cycling,21
1904,Fencing,18
1904,Football,57
1904,Gymnastics,48
1904,Rowing,45
1904,Wrestling,21
1908,Aquatics,48
1908,Athletics,94
1908,Fencing,31
1908,Football,33
1908,Gymnastics,119
1908,Hockey,22
1908,Rowing,56
1908,Shooting,113
1908,Wrestling,27
1912,Aquatics,78
1912,Athletics,127
1912,Fencing,51
1912,Football,33
1912,Gymnastics,200
1912,Rowing,61
1912,Sailing,73
1912,Shooting,144
1912,Wrestling,15
1920,Aquatics,87
1920,Athletics,117
1920,Fencing,76
1920,Football,46
1920,Gymnastics,202
1920,Hockey,42
1920,Rowing,60
1920,Shooting,198
1920,Wrestling,31
1924,Aquatics,109
1924,Athletics,128
1924,Fencing,72
1924,Football,66
1924,Gymnastics,49
1924,Rowing,76
1924,Sailing,26
1924,Shooting,88
1924,Wrestling,39
1928,Aquatics,87
1928,Athletics,108
1928,Fencing,47
1928,Football,66
1928,Gymnastics,78
1928,Hockey,59
1928,Rowing,78
1928,Sailing,30
1928,Wrestling,39
1932,Aquatics,88
1932,Athletics,114
1932,Fencing,65
1932,Gymnastics,45
1932,Hockey,34
1932,Rowing,78
1932,Sailing,41
1932,Shooting,6
1932,Wrestling,42
1936,Aquatics,94
1936,Athletics,114
1936,Fencing,66
1936,Football,41
1936,Gymnastics,70
1936,Hockey,53
1936,Rowing,78
1936,Shooting,9
1936,Wrestling,42
1948,Aquatics,91
1948,Athletics,126
1948,Fencing,66
1948,Football,41
1948,Gymnastics,72
1948,Hockey,44
1948,Rowing,78
1948,Shooting,12
1948,Wrestling,48
1952,Aquatics,96
1952,Athletics,126
1952,Fencing,66
1952,Football,38
1952,Gymnastics,110
1952,Hockey,38
1952,Rowing,78
1952,Shooting,21
1952,Wrestling,48
1956,Aquatics,98
1956,Athletics,127
1956,Fencing,64
1956,Football,46
1956,Gymnastics,100
1956,Hockey,42
1956,Rowing,78
1956,Shooting,21
1956,Wrestling,48
1960,Aquatics,128
1960,Athletics,129
1960,Fencing,76
1960,Football,45
1960,Gymnastics,73
1960,Hockey,40
1960,Rowing,78
1960,Shooting,18
1960,Wrestling,48
1964,Aquatics,145
1964,Athletics,135
1964,Fencing,71
1964,Football,50
1964,Gymnastics,73
1964,Hockey,45
1964,Rowing,78
1964,Shooting,18
1964,Wrestling,48
1968,Aquatics,177
1968,Athletics,135
1968,Fencing,72
1968,Football,51
1968,Gymnastics,72
1968,Hockey,42
1968,Rowing,78
1968,Shooting,21
1968,Wrestling,48
1972,Aquatics,177
1972,Athletics,150
1972,Fencing,71
1972,Football,70
1972,Gymnastics,72
1972,Hockey,47
1972,Rowing,78
1972,Shooting,24
1972,Wrestling,60
1976,Aquatics,159
1976,Athletics,147
1976,Fencing,71
1976,Football,51
1976,Gymnastics,74
1976,Hockey,48
1976,Rowing,162
1976,Shooting,21
1976,Wrestling,60
1980,Aquatics,159
1980,Athletics,150
1980,Fencing,70
1980,Football,51
1980,Gymnastics,75
1980,Hockey,96
1980,Rowing,162
1980,Shooting,21
1980,Wrestling,60
1984,Aquatics,192
1984,Athletics,161
1984,Fencing,72
1984,Football,51
1984,Gymnastics,78
1984,Hockey,96
1984,Rowing,162
1984,Shooting,33
1984,Wrestling,60
1988,Aquatics,202
1988,Athletics,163
1988,Fencing,72
1988,Football,61
1988,Gymnastics,78
1988,Hockey,96
1988,Rowing,159
1988,Shooting,39
1988,Wrestling,60
1992,Aquatics,228
1992,Athletics,178
1992,Fencing,72
1992,Football,37
1992,Gymnastics,80
1992,Hockey,96
1992,Rowing,156
1992,Shooting,39
1992,Wrestling,60
1996,Aquatics,262
1996,Athletics,180
1996,Fencing,60
1996,Football,104
1996,Gymnastics,101
1996,Hockey,96
1996,Rowing,144
1996,Shooting,45
1996,Wrestling,60
2000,Aquatics,329
2000,Athletics,184
2000,Fencing,66
2000,Football,108
2000,Gymnastics,99
2000,Hockey,96
2000,Rowing,144
2000,Shooting,51
2000,Wrestling,48
2004,Aquatics,332
2004,Athletics,183
2004,Fencing,61
2004,Football,98
2004,Gymnastics,99
2004,Hockey,95
2004,Rowing,144
2004,Shooting,51
2004,Wrestling,54
2008,Aquatics,347
2008,Athletics,177
2008,Fencing,62
2008,Football,108
2008,Gymnastics,99
2008,Hockey,98
2008,Rowing,144
2008,Shooting,45
2008,Wrestling,71
2012,Aquatics,342
2012,Athletics,190
2012,Fencing,66
2012,Football,110
2012,Gymnastics,93
2012,Hockey,97
2012,Rowing,144
2012,Shooting,45
2012,Wrestling,72
