Country;Happiness_Rank;Happiness_Score;Economy;Family;Life_Expectancy;Freedom;Government_Corruption;Generosity;Year;
Switzerland;1;7.587;139.651;134.951;0.94143;0.66557;0.41978;0.29678;2015;
Iceland;2;7.561;130.232;140.223;0.94784;0.62877;0.14145;3,029861111;2015;
Denmark;3;7.527;132.548;136.058;0.87464;0.64938;0.48357;0.34139;2015;
Norway;4;7.522;1.459;133.095;0.88521;0.66973;0.36503;0.34699;2015;
Canada;5;7.427;132.629;132.261;0.90563;0.63297;0.32957;0.45811;2015;
Finland;6;7.406;129.025;131.826;0.88911;0.64169;0.41372;0.23351;2015;
Netherlands;7;7.378;132.944;128.017;0.89284;0.61576;0.31814;3,30625;2015;
Sweden;8;7.364;133.171;128.907;0.91087;4,581944444;0.43844;0.36262;2015;
New Zealand;9;7.286;125.018;131.967;0.90837;0.63938;0.42922;0.47501;2015;
Australia;10;7.284;133.358;130.923;0.93156;0.65124;0.35637;0.43562;2015;
Israel;11;7.278;122.857;122.393;0.91387;0.41319;0.07785;0.33172;2015;
Costa Rica;12;7.226;0.95578;123.788;0.86027;0.63376;0.10583;0.25497;2015;
Austria;13;07.02;133.723;129.704;0.89042;0.62433;0.18676;0.33088;2015;
Mexico;14;7.187;102.054;0.91451;0.81444;0.48181;0.21312;0.14074;2015;
United States;15;7.119;139.451;124.711;0.86179;0.54604;1,103472222;0.40105;2015;
Brazil;16;6.983;0.98124;123.287;0.69702;0.49049;0.17521;0.14574;2015;
Luxembourg;17;6.946;156.391;121.963;0.91894;0.61583;0.37798;0.28034;2015;
Ireland;18;0,315277778;133.596;136.948;0.89533;0.61777;0.28703;0.45901;2015;
Belgium;19;6.937;130.782;128.566;0.89667;4,059027778;1,565277778;1,545138889;2015;
United Arab Emirates;20;6.901;142.727;112.575;0.80925;0.64157;0.38583;0.26428;2015;
United Kingdom;21;6.867;126.637;128.548;0.90943;0.59625;0.32067;0.51912;2015;
Oman;22;6.853;136.011;108.182;0.76276;0.63274;0.32524;0.21542;2015;
Venezuela;23;0,30625;104.424;125.596;0.72052;0.42908;0.11069;0.05841;2015;
Singapore;24;6.798;152.186;01.02;102.525;0.54252;3,417361111;0.31105;2015;
Panama;25;6.786;106.353;11.985;0.79661;3,764583333;0,64375;0.24434;2015;
Germany;26;0,302083333;132.792;129.937;0.89186;0.61477;0.21843;0.28214;2015;
